algorithm,crypto_family,file_size,key_size,label_group,mode,original_file_id,original_type,path,sample_id,split,tool
none,not_encrypted,2222,0,not_encrypted,,0001-csv,csv,data/generated\not_encrypted\000001.enc,000001,train,pycryptodome
gzip,compressed_only,817,0,compressed_only,,0001-csv,csv,data/generated\compressed_only\000002.enc,000002,train,pycryptodome
AES,block_padded_mode_like,2244,256,AES_like,CBC,0001-csv,csv,data/generated\AES_like\000003.enc,000003,train,pycryptodome
ChaCha20,stream_or_counter_mode_like,2238,256,ChaCha20_Salsa20_like,,0001-csv,csv,data/generated\ChaCha20_Salsa20_like\000004.enc,000004,train,pycryptodome
XOR,weak_obfuscation_like,2222,128,XOR_like,REPEATING_KEY,0001-csv,csv,data/generated\XOR_like\000005.enc,000005,train,pycryptodome
Hybrid_AES_RSA,hybrid_encryption_like,2500,256,hybrid_AES_RSA_like,CBC+OAEP,0001-csv,csv,data/generated\hybrid_AES_RSA_like\000006.enc,000006,train,pycryptodome
none,not_encrypted,88064,0,not_encrypted,,0001-doc,doc,data/generated\not_encrypted\000007.enc,000007,test,pycryptodome
gzip,compressed_only,27178,0,compressed_only,,0001-doc,doc,data/generated\compressed_only\000008.enc,000008,test,pycryptodome
AES,block_padded_mode_like,88080,256,AES_like,ECB,0001-doc,doc,data/generated\AES_like\000009.enc,000009,test,pycryptodome
Salsa20,stream_or_counter_mode_like,88084,256,ChaCha20_Salsa20_like,,0001-doc,doc,data/generated\ChaCha20_Salsa20_like\000010.enc,000010,test,pycryptodome
XOR,weak_obfuscation_like,88064,128,XOR_like,REPEATING_KEY,0001-doc,doc,data/generated\XOR_like\000011.enc,000011,test,pycryptodome
Hybrid_ChaCha20_RSA,hybrid_encryption_like,88336,256,hybrid_ChaCha20_RSA_like,STREAM+OAEP,0001-doc,doc,data/generated\hybrid_ChaCha20_RSA_like\000012.enc,000012,test,pycryptodome
none,not_encrypted,5019,0,not_encrypted,,0001-exe,exe,data/generated\not_encrypted\000013.enc,000013,train,pycryptodome
gzip,compressed_only,4766,0,compressed_only,,0001-exe,exe,data/generated\compressed_only\000014.enc,000014,train,pycryptodome
AES,block_padded_mode_like,5031,256,AES_like,CTR,0001-exe,exe,data/generated\AES_like\000015.enc,000015,train,pycryptodome
RC4,stream_or_counter_mode_like,5019,256,RC4_like,STREAM,0001-exe,exe,data/generated\RC4_like\000016.enc,000016,train,pycryptodome
XOR,weak_obfuscation_like,5019,128,XOR_like,REPEATING_KEY,0001-exe,exe,data/generated\XOR_like\000017.enc,000017,train,pycryptodome
Hybrid_Salsa20_RSA,hybrid_encryption_like,5295,256,hybrid_Salsa20_RSA_like,STREAM+OAEP,0001-exe,exe,data/generated\hybrid_Salsa20_RSA_like\000018.enc,000018,train,pycryptodome
none,not_encrypted,3429,0,not_encrypted,,0002-csv,csv,data/generated\not_encrypted\000019.enc,000019,train,pycryptodome
gzip,compressed_only,1122,0,compressed_only,,0002-csv,csv,data/generated\compressed_only\000020.enc,000020,train,pycryptodome
AES,block_padded_mode_like,3457,256,AES_like,CFB,0002-csv,csv,data/generated\AES_like\000021.enc,000021,train,pycryptodome
ChaCha20,stream_or_counter_mode_like,3445,256,ChaCha20_Salsa20_like,,0002-csv,csv,data/generated\ChaCha20_Salsa20_like\000022.enc,000022,train,pycryptodome
XOR,weak_obfuscation_like,3429,128,XOR_like,REPEATING_KEY,0002-csv,csv,data/generated\XOR_like\000023.enc,000023,train,pycryptodome
Hybrid_AES_RSA,hybrid_encryption_like,3716,256,hybrid_AES_RSA_like,CBC+OAEP,0002-csv,csv,data/generated\hybrid_AES_RSA_like\000024.enc,000024,train,pycryptodome
none,not_encrypted,41472,0,not_encrypted,,0002-doc,doc,data/generated\not_encrypted\000025.enc,000025,val,pycryptodome
gzip,compressed_only,11614,0,compressed_only,,0002-doc,doc,data/generated\compressed_only\000026.enc,000026,val,pycryptodome
AES,block_padded_mode_like,41492,256,AES_like,OFB,0002-doc,doc,data/generated\AES_like\000027.enc,000027,val,pycryptodome
Salsa20,stream_or_counter_mode_like,41492,256,ChaCha20_Salsa20_like,,0002-doc,doc,data/generated\ChaCha20_Salsa20_like\000028.enc,000028,val,pycryptodome
XOR,weak_obfuscation_like,41472,128,XOR_like,REPEATING_KEY,0002-doc,doc,data/generated\XOR_like\000029.enc,000029,val,pycryptodome
Hybrid_ChaCha20_RSA,hybrid_encryption_like,41744,256,hybrid_ChaCha20_RSA_like,STREAM+OAEP,0002-doc,doc,data/generated\hybrid_ChaCha20_RSA_like\000030.enc,000030,val,pycryptodome
none,not_encrypted,58462,0,not_encrypted,,0002-exe,exe,data/generated\not_encrypted\000031.enc,000031,train,pycryptodome
gzip,compressed_only,33311,0,compressed_only,,0002-exe,exe,data/generated\compressed_only\000032.enc,000032,train,pycryptodome
AES,block_padded_mode_like,58498,256,AES_like,GCM,0002-exe,exe,data/generated\AES_like\000033.enc,000033,train,pycryptodome
RC4,stream_or_counter_mode_like,58462,256,RC4_like,STREAM,0002-exe,exe,data/generated\RC4_like\000034.enc,000034,train,pycryptodome
XOR,weak_obfuscation_like,58462,128,XOR_like,REPEATING_KEY,0002-exe,exe,data/generated\XOR_like\000035.enc,000035,train,pycryptodome
